S8900015G	5597.45	5154.66	8484.96	8046.55	3417.28	3121.31	6918.35	2835.26	1760.6	5118.86	3936.27	3746.63	536.5	8706.06	819.44	86.25	6048.74	7555.27	7400.04	1813.88	2188.7	6503.87	619.03	3269.92	5640.34	3069.44	9452.57	8007.56	3961.31	578.4	3032.02	874.83	1092.69	6748.39	1279.63	7511.14	3993.44	4576.78	6650.32	9866.16	5991.41	5565.14	6093.21	6970.17	1178.76	8086.08	4373.94	6609.74	1161.58	1933.5
S5400013Z	6634.85	8874.73	6850.91	2988.77	193.73	9848.92	8230.85	5926.07	4501.75	2536.58	8011.89	9285.17	2576.98	3484.65	5218.98	9954.32	3924.65	2452.87	8317.31	965.71	5921.24	1699.29	8531.25	6133.55	7641.6	6059.21	8120.0	504.75	2331.05	7207.22	6103.85	9528.38	6178.59	8211.12	6289.32	7341.45	9398.84	8574.03	7284.15	1057.51	2468.78	1532.29	5464.56	3875.16	586.86	1768.33	2128.41	7199.81	3175.56	6954.77
S7700009B	6738.36	4924.95	1090.77	5521.44	2982.08	1807.24	6127.69	8412.83	7416.6	7534.89	2861.96	1591.65	4816.77	6589.19	4720.73	9811.4	8297.74	2274.21	7821.9	1077.25	7807.69	3306.93	3765.24	6030.21	717.51	8857.18	6537.01	2343.67	3211.35	9518.59	6587.6	3158.42	9163.54	535.86	6138.09	3403.07	18.87	9857.26	4794.32	1307.96	3993.86	759.54	5973.75	180.74	8453.0	2852.76	8761.32	3011.64	5492.55	6145.9
S2800019A	9935.03	3516.11	3363.47	7220.18	5116.97	9907.68	4420.73	5390.79	2124.73	2220.29	4275.93	7067.53	1155.4	2767.57	4867.19	8779.57	5588.22	1123.09	5389.83	5971.45	3727.12	7565.66	4110.56	2922.49	7885.64	6770.05	4710.05	6748.7	9289.61	6650.02	5353.82	3190.45	2333.83	6796.67	7408.7	7815.94	7361.57	5185.8	8897.78	5693.08	5128.77	3642.63	6903.92	8156.99	5788.06	2918.92	7428.67	5498.53	7581.24	6342.12
S2700028J	7178.51	1000.74	2847.76	9129.49	4289.33	4624.11	6045.44	255.69	9884.81	3898.87	7504.09	3018.92	9415.66	9961.25	585.7	1018.8	8944.55	7657.39	8986.59	7152.24	6513.0	2311.9	1269.36	5729.35	5883.82	2062.86	7589.75	6135.37	2561.68	5823.97	6729.07	390.59	832.27	5104.72	5576.45	8282.56	8843.01	5526.43	9099.83	7882.93	5707.5	6164.81	5196.61	5103.21	6267.91	528.57	1718.64	3488.59	9668.3	3155.83
S2200033G	2521.78	9369.18	8663.51	9413.49	1448.43	1193.58	4592.07	3526.08	7966.98	174.79	7467.79	3539.76	2303.37	6402.58	2964.84	1768.92	4699.63	7232.27	4211.63	219.47	3170.97	9707.18	2535.96	9511.43	8505.46	3272.59	2126.22	7710.38	8010.55	831.68	1229.35	2211.76	4282.4	6092.21	1794.65	2664.5	854.94	2249.62	1289.32	337.22	3439.14	603.09	2179.52	8910.14	4905.71	1405.43	4372.02	8761.85	5372.15	8306.57
S6300023I	4184.96	8037.15	3259.76	8764.26	1101.09	1971.71	5874.88	6795.25	8142.1	6882.99	7183.88	3294.98	8945.95	1076.03	911.24	6642.01	6906.71	2585.03	5528.69	2251.18	5070.33	9092.67	6346.42	5348.63	925.21	675.47	9444.1	150.22	2762.22	4552.66	1991.34	9508.94	7663.47	3537.32	5346.46	5591.56	6955.36	3977.1	4003.66	8655.53	5238.59	9478.07	1147.72	1114.39	2154.3	5630.63	5764.61	129.99	7740.69	8892.1
S8200023E	5810.88	9414.43	221.57	6108.49	3462.73	8702.02	5170.61	493.75	1303.83	8698.49	4203.6	8936.54	3932.64	9289.31	1676.16	7722.05	2992.55	7838.22	5756.05	9273.71	727.9	8648.42	4293.78	7586.97	8459.79	5230.89	1003.75	3176.8	1545.31	2537.26	7552.29	6616.72	9363.33	9594.91	3463.06	6821.67	7294.35	4831.29	2432.16	5930.59	2818.12	6658.78	6366.33	1204.26	2613.26	3309.31	1222.67	8113.03	3647.67	3901.13
S1300032Z	95.39	8720.68	6016.35	3131.76	3828.55	2002.83	1222.09	7904.1	8073.89	602.53	5267.63	9055.35	5713.25	9306.27	2865.91	4776.73	1582.74	4526.27	3441.26	1419.27	4427.64	6965.65	3501.4	3434.27	4332.06	5803.36	2476.7	5111.67	8778.66	501.81	8877.24	3471.06	8209.07	9589.35	7927.01	4972.08	2397.55	9217.39	4701.64	5938.51	4105.46	8170.42	373.27	2640.01	3228.21	836.58	9143.37	3649.57	5496.01	9421.99
S2100031E	9003.47	4388.38	6673.82	8639.4	5635.65	5532.05	6796.47	2400.42	3857.37	4752.68	2883.28	3503.76	8819.86	1391.78	7731.56	1237.5	9476.02	7566.65	3466.81	1283.48	6667.33	6212.96	8272.02	5711.18	7223.72	3324.67	8133.96	8597.58	5443.51	812.33	7270.21	3365.14	5546.81	617.23	3895.27	70.88	1076.0	6994.25	9378.13	6437.77	3742.75	6682.77	9612.1	1184.23	9293.31	5361.21	141.3	4588.41	2794.65	4098.02
S3300050J	9365.12	1881.49	7259.83	9501.24	1503.68	4553.75	6471.62	7524.72	6101.85	101.3	3624.76	9790.83	71.93	4956.77	9843.23	3668.47	7358.9	5262.4	2365.84	2.83	1997.65	2475.79	361.87	8624.93	251.3	3237.82	9743.33	8369.9	4737.04	5599.0	4707.57	5198.2	2260.54	6270.97	3394.23	0.34	8982.76	4581.68	9314.08	8336.35	1304.97	1148.88	7928.87	3776.13	5873.31	8813.24	6612.89	1867.97	7569.47	9393.73
